Name,Type,Description,Product,Activity
AFC,Construction,Alkaline Fuel Cell,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
AFC,Operation,Alkaline Fuel Cell,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
ALKALINE_ELECTROLYSIS,Operation,Alkaline Electrolysis,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity"
ALKALINE_ELECTROLYSIS_PLANT,Construction,Alkaline Electrolysis (plant),"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant"
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,Alkaline Electrolysis (plant decommissioning),"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC"
ALKALINE_ELECTROLYSIS_STACK,Construction,Alkaline Electrolysis (stack),"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack"
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,Alkaline Electrolysis (stack decommissioning),"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC"
AL_MAKING,Construction,Aluminum Making,aluminium casting facility,aluminium casting facility construction
AL_MAKING,Operation,Aluminum Making,"aluminium, primary, ingot","aluminium production, primary, ingot"
AL_MAKING_HR,Construction,Aluminum Making Heat Recovery,aluminium casting facility,aluminium casting facility construction
AL_MAKING_HR,Operation,Aluminum Making Heat Recovery,"aluminium, primary, ingot","aluminium production, primary, ingot"
AN_DIG,Operation,Anaerobic Digestion of Sewage Sludge,biogas,anaerobic digestion of manure
AN_DIG,Construction,Anaerobic Digestion of Sewage Sludge,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste"
AN_DIG_SI,Operation,Anaerobic Digestion of Sewage Sludge Cogeneration,biogas,anaerobic digestion of manure
AN_DIG_SI_COGEN,Construction,Anaerobic Digestion of Sewage Sludge Cogeneration (co-generation unit),"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity"
AN_DIG_SI_PLANT,Construction,Anaerobic Digestion of Sewage Sludge Cogeneration (plant),"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste"
ATR,Operation,Auto-Thermal Reforming,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming"
ATR_CCS,Operation,Auto-Thermal Reforming with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, with CCS"
ATR_CCS_PLANT,Construction,Auto-Thermal Reforming with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
ATR_CCS_TANK,Construction,Auto-Thermal Reforming with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
ATR_PLANT,Construction,Auto-Thermal Reforming (plant),"chemical factory, organics","chemical factory construction, organics"
ATR_TANK,Construction,Auto-Thermal Reforming (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BATTERY,Construction,Battery Energy Storage,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic"
BIOGAS_ATR,Operation,Biogas Auto-Thermal Reforming,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane"
BIOGAS_ATR_CCS,Operation,Biogas Auto-Thermal Reforming with Carbon Capture,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane, with CCS"
BIOGAS_ATR_CCS_PLANT,Construction,Biogas Auto-Thermal Reforming with Carbon Capture (plant),"chemical factory, organics","chemical factory construction, organics"
BIOGAS_ATR_CCS_TANK,Construction,Biogas Auto-Thermal Reforming with Carbon Capture (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
BIOGAS_ATR_PLANT,Construction,Biogas Auto-Thermal Reforming (plant),"chemical factory, organics","chemical factory construction, organics"
BIOGAS_ATR_TANK,Construction,Biogas Auto-Thermal Reforming (storage tank),"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
